Date,Open,High,Low,Close,Volume
09/10/2021,"2,908.87","2,920.38","2,834.83","2,838.42","1,631,470"
09/09/2021,"2,897.67","2,913.39","2,888.68","2,898.27","739,928"
09/08/2021,"2,907.87","2,911.02","2,884.00","2,897.67","774,583"
09/07/2021,"2,894.99","2,916.48","2,890.82","2,910.38","758,630"
09/03/2021,"2,882.92","2,907.54","2,870.10","2,895.50","955,524"
09/02/2021,"2,918.99","2,926.50","2,882.13","2,884.38","1,092,790"
09/01/2021,"2,913.00","2,936.41","2,912.29","2,916.84","791,234"
08/31/2021,"2,917.69","2,922.24","2,900.00","2,909.24","1,337,821"
08/30/2021,"2,894.09","2,929.79","2,892.00","2,909.39","845,795"
08/27/2021,"2,842.25","2,900.22","2,840.40","2,891.01","1,228,412"
08/26/2021,"2,852.37","2,862.70","2,841.83","2,842.46","746,100"
08/25/2021,"2,857.66","2,866.26","2,848.79","2,859.00","642,153"
08/24/2021,"2,830.87","2,860.15","2,827.07","2,847.97","756,313"
08/23/2021,"2,779.97","2,843.54","2,774.96","2,821.99","1,054,484"
08/20/2021,"2,741.66","2,772.29","2,729.34","2,768.74","778,337"
08/19/2021,"2,709.35","2,749.04","2,707.12","2,738.27","914,796"
08/18/2021,"2,742.31","2,765.88","2,728.42","2,731.40","746,723"
08/17/2021,"2,763.82","2,774.37","2,735.75","2,746.01","1,063,701"
08/16/2021,"2,760.00","2,779.81","2,723.32","2,778.32","902,542"
08/13/2021,"2,767.15","2,773.48","2,760.10","2,768.12","629,029"
08/12/2021,"2,754.26","2,768.36","2,735.58","2,767.79","732,470"
08/11/2021,"2,765.66","2,776.96","2,747.00","2,753.79","760,483"
08/10/2021,"2,761.59","2,771.03","2,744.53","2,761.93","801,954"
08/09/2021,"2,738.98","2,766.43","2,728.58","2,760.04","618,978"
08/06/2021,"2,725.90","2,741.60","2,720.93","2,740.72","678,251"
08/05/2021,"2,720.57","2,739.00","2,712.00","2,738.80","593,589"
08/04/2021,"2,724.99","2,730.76","2,708.30","2,720.57","826,357"
08/03/2021,"2,720.00","2,726.71","2,683.67","2,725.60","953,200"
08/02/2021,"2,709.69","2,720.41","2,693.39","2,719.79","1,007,002"
07/30/2021,"2,710.22","2,715.43","2,696.28","2,704.42","1,197,725"
07/29/2021,"2,727.61","2,743.03","2,722.76","2,730.81","964,167"
07/28/2021,"2,771.24","2,793.52","2,727.00","2,727.63","2,734,417"
07/27/2021,"2,800.22","2,800.22","2,702.00","2,735.93","2,108,153"
07/26/2021,"2,765.00","2,794.26","2,753.02","2,792.89","1,152,623"
07/23/2021,"2,705.20","2,776.17","2,694.01","2,756.32","1,318,887"
07/22/2021,"2,653.00","2,670.09","2,648.00","2,666.57","680,407"
07/21/2021,"2,615.74","2,652.35","2,612.03","2,652.01","737,082"
07/20/2021,"2,600.08","2,640.03","2,583.77","2,622.03","954,156"
07/19/2021,"2,623.11","2,624.94","2,570.74","2,585.08","1,285,466"
07/16/2021,"2,632.82","2,643.66","2,616.43","2,636.91","743,059"
07/15/2021,"2,650.00","2,651.90","2,611.96","2,625.33","829,316"
07/14/2021,"2,638.03","2,659.92","2,637.96","2,641.65","895,927"
07/13/2021,"2,617.63","2,640.84","2,612.74","2,619.89","830,898"
07/12/2021,"2,596.67","2,615.40","2,592.00","2,611.28","847,546"
07/09/2021,"2,578.89","2,596.99","2,578.87","2,591.49","755,466"
07/08/2021,"2,565.00","2,600.65","2,560.80","2,583.54","988,975"
07/07/2021,"2,606.82","2,612.80","2,595.20","2,601.55","834,186"
07/06/2021,"2,588.99","2,597.69","2,568.18","2,595.42","1,067,517"
07/02/2021,"2,536.79","2,576.96","2,535.38","2,574.38","1,058,256"
07/01/2021,"2,497.00","2,529.25","2,497.00","2,527.37","856,230"
06/30/2021,"2,513.07","2,516.00","2,495.15","2,506.32","1,200,478"
06/29/2021,"2,535.45","2,540.00","2,508.74","2,520.37","1,047,478"
06/28/2021,"2,540.00","2,546.74","2,519.48","2,536.39","1,405,543"
06/25/2021,"2,539.14","2,550.10","2,528.88","2,539.90","1,674,297"
06/24/2021,"2,541.07","2,550.71","2,539.20","2,545.64","946,662"
06/23/2021,"2,531.00","2,555.92","2,525.04","2,529.23","984,658"
06/22/2021,"2,529.00","2,545.40","2,520.53","2,539.99","1,049,310"
06/21/2021,"2,514.80","2,540.74","2,502.69","2,529.10","1,312,826"
06/18/2021,"2,514.11","2,527.78","2,492.06","2,511.35","2,665,310"
06/17/2021,"2,510.46","2,543.93","2,510.30","2,527.42","1,287,791"
06/16/2021,"2,524.95","2,530.47","2,483.00","2,513.93","1,315,838"
06/15/2021,"2,530.44","2,537.24","2,512.97","2,520.66","1,109,130"
06/14/2021,"2,513.39","2,528.23","2,500.94","2,527.04","1,127,522"
06/11/2021,"2,524.92","2,526.99","2,498.29","2,513.93","1,262,309"
06/10/2021,"2,494.01","2,523.26","2,494.00","2,521.60","1,561,733"
06/09/2021,"2,499.50","2,505.00","2,487.33","2,491.40","1,006,337"
06/08/2021,"2,479.90","2,494.50","2,468.24","2,482.85","1,253,253"
06/07/2021,"2,451.32","2,468.00","2,441.07","2,466.09","1,192,453"
06/04/2021,"2,422.52","2,453.86","2,417.77","2,451.76","1,297,434"
06/03/2021,"2,395.02","2,409.75","2,382.83","2,404.61","917,291"
06/02/2021,"2,435.31","2,442.00","2,404.20","2,421.28","858,105"
06/01/2021,"2,422.00","2,437.97","2,404.88","2,429.81","958,289"
05/28/2021,"2,421.96","2,428.14","2,407.69","2,411.56","1,205,382"
05/27/2021,"2,436.94","2,440.00","2,402.00","2,402.51","1,948,113"
05/26/2021,"2,412.84","2,442.94","2,412.52","2,433.53","1,092,819"
05/25/2021,"2,420.00","2,432.89","2,402.99","2,409.07","941,928"
05/24/2021,"2,367.00","2,418.48","2,360.11","2,406.67","1,062,189"
05/21/2021,"2,365.99","2,369.00","2,342.37","2,345.10","1,141,632"
05/20/2021,"2,328.04","2,360.34","2,321.09","2,356.09","1,191,593"
05/19/2021,"2,264.40","2,316.76","2,263.52","2,308.71","967,544"
05/18/2021,"2,336.91","2,343.15","2,303.16","2,303.43","865,119"
05/17/2021,"2,309.32","2,323.34","2,295.00","2,321.41","991,792"
05/14/2021,"2,291.83","2,321.14","2,283.32","2,316.16","1,331,248"
05/13/2021,"2,261.09","2,276.60","2,242.72","2,261.97","1,333,508"
05/12/2021,"2,261.71","2,285.37","2,230.05","2,239.08","1,746,664"
05/11/2021,"2,291.86","2,322.00","2,283.00","2,308.76","1,605,548"
05/10/2021,"2,374.89","2,378.00","2,334.73","2,341.66","1,300,271"
05/07/2021,"2,400.00","2,416.41","2,390.00","2,398.69","1,163,892"
05/06/2021,"2,350.64","2,382.71","2,342.34","2,381.35","1,030,859"
05/05/2021,"2,368.42","2,382.20","2,351.41","2,356.74","1,090,275"
05/04/2021,"2,369.74","2,379.26","2,311.70","2,354.25","1,756,015"
05/03/2021,"2,402.72","2,419.70","2,384.50","2,395.17","1,689,389"
04/30/2021,"2,404.49","2,427.14","2,402.16","2,410.12","1,957,130"
04/29/2021,"2,410.33","2,436.52","2,402.28","2,429.89","1,977,677"
04/28/2021,"2,407.15","2,452.38","2,374.85","2,379.91","2,986,439"
04/27/2021,"2,336.00","2,337.45","2,304.27","2,307.12","1,598,583"
04/26/2021,"2,319.93","2,341.26","2,313.84","2,326.74","1,041,650"
04/23/2021,"2,283.47","2,325.82","2,278.21","2,315.30","1,435,162"
04/22/2021,"2,293.23","2,303.76","2,256.45","2,267.92","1,054,808"
04/21/2021,"2,285.25","2,295.32","2,258.57","2,293.29","1,196,731"
04/20/2021,"2,307.89","2,309.60","2,271.71","2,293.63","1,088,749"
04/19/2021,"2,291.98","2,318.45","2,287.85","2,302.40","1,234,445"
04/16/2021,"2,303.00","2,306.44","2,284.45","2,297.76","1,130,090"
04/15/2021,"2,276.98","2,306.60","2,266.00","2,296.66","1,373,612"
04/14/2021,"2,275.16","2,277.99","2,249.19","2,254.84","1,010,967"
04/13/2021,"2,261.47","2,277.21","2,256.09","2,267.27","1,165,804"
04/12/2021,"2,266.25","2,275.32","2,238.47","2,254.79","1,565,851"
04/09/2021,"2,256.70","2,289.04","2,253.71","2,285.88","1,044,365"
04/08/2021,"2,277.96","2,284.01","2,257.68","2,265.44","1,358,259"
04/07/2021,"2,226.13","2,255.00","2,225.33","2,249.68","1,289,861"
04/06/2021,"2,222.50","2,237.66","2,214.80","2,224.75","1,353,036"
04/05/2021,"2,152.94","2,237.31","2,151.62","2,225.55","2,164,875"
04/01/2021,"2,097.95","2,142.94","2,096.89","2,137.75","1,698,978"
03/31/2021,"2,059.12","2,093.33","2,056.75","2,068.63","1,459,930"
03/30/2021,"2,057.63","2,070.78","2,044.03","2,055.54","1,036,774"
03/29/2021,"2,027.88","2,058.43","2,015.62","2,055.95","1,229,777"
03/26/2021,"2,038.86","2,050.99","2,014.02","2,035.55","1,493,800"
03/25/2021,"2,044.81","2,058.87","2,010.73","2,044.36","1,418,907"
03/24/2021,"2,065.37","2,078.21","2,041.56","2,045.06","1,154,029"
03/23/2021,"2,051.70","2,072.30","2,039.22","2,052.96","1,366,997"
03/22/2021,"2,041.84","2,057.99","2,026.07","2,038.59","1,954,816"
03/19/2021,"2,042.05","2,053.10","2,017.68","2,043.20","2,314,893"
03/18/2021,"2,061.00","2,075.50","2,033.55","2,036.22","1,362,430"
03/17/2021,"2,076.03","2,109.78","2,054.00","2,091.08","1,299,016"
03/16/2021,"2,078.99","2,123.56","2,070.00","2,092.52","1,491,564"
03/15/2021,"2,062.30","2,067.06","2,043.51","2,066.49","1,298,325"
03/12/2021,"2,085.00","2,090.26","2,047.55","2,061.92","1,725,794"
03/11/2021,"2,074.06","2,125.70","2,072.38","2,114.77","1,239,080"
03/10/2021,"2,071.76","2,075.00","2,033.37","2,055.03","1,268,592"
